class_index,class_name,roc_auc,average_precision
0,atelectasis,0.7451969649479904,0.25431800318952963
1,cardiomegaly,0.7700217310585705,0.1029547353792621
2,effusion,0.8136576899468866,0.36830406101517116
3,infiltration,0.6701395968410608,0.30697978471838644
4,mass,0.696839190482702,0.13139462780064476
5,nodule,0.6971840702013752,0.1484664106112773
6,pneumonia,0.6706123136064022,0.023138577996635823
7,pneumothorax,0.7904901500695933,0.21048631775380552
8,consolidation,0.7603067349560629,0.12229000034406633
9,edema,0.8522193669413455,0.09332753327194981
10,emphysema,0.8337803589395623,0.21346362621854867
11,fibrosis,0.7824309968006316,0.08178018662548721
12,pleural,0.7322576549880562,0.08865678962964083
13,hernia,0.9012921858484808,0.07796855964385974
