fraction_percent,train_samples,metric,dinov2_mean,resnet18_mean,paired_gap_mean,paired_gap_std,resnet18_wins,dinov2_wins,ties
5,3923,macro_roc_auc,0.695314172160645,0.7437556293991113,0.04844145723846633,0.0012133044217550357,3,0,0
5,3923,micro_roc_auc,0.8063015617055259,0.8216668022336789,0.015365240528153032,0.005904425267973884,3,0,0
5,3923,macro_average_precision,0.11230550816884023,0.14107361328272464,0.028768105113884366,0.004047505127463724,3,0,0
5,3923,micro_average_precision,0.19982517997911056,0.22011308450334152,0.0202879045242309,0.0038551714234676994,3,0,0
10,7847,macro_roc_auc,0.7198463533780654,0.7663358029806518,0.046489449602586434,0.00578890020270399,3,0,0
10,7847,micro_roc_auc,0.8164611327946587,0.8354077045140395,0.0189465717193807,0.003622139365467365,3,0,0
10,7847,macro_average_precision,0.123260604634986,0.16304568806499245,0.03978508343000644,0.0034445823812863713,3,0,0
10,7847,micro_average_precision,0.21344131937158642,0.24345462732976872,0.0300133079581823,0.015332605524386407,3,0,0
25,19617,macro_roc_auc,0.7389490862377498,0.7966733768174844,0.05772429057973453,0.005375316485622679,3,0,0
25,19617,micro_roc_auc,0.8236454728955834,0.8545480488670075,0.030902575971424068,0.004955053022364785,3,0,0
25,19617,macro_average_precision,0.1321233382573925,0.19262113591013286,0.06049779765274033,0.004146839631357784,3,0,0
25,19617,micro_average_precision,0.22400378685530797,0.28087357769739846,0.05686979084209046,0.006270681331725064,3,0,0
50,39234,macro_roc_auc,0.7517084715097915,0.8127138721919013,0.06100540068210974,0.004806736905515185,3,0,0
50,39234,micro_roc_auc,0.82845670535663,0.8646741466128601,0.03621744125623023,0.0035115420336839136,3,0,0
50,39234,macro_average_precision,0.14316787647518084,0.21051877399560678,0.0673508975204259,0.00632277133477286,3,0,0
50,39234,micro_average_precision,0.23212759274729935,0.3006473761042748,0.06851978335697537,0.008825123217697196,3,0,0
100,78468,macro_roc_auc,0.7603156202729305,0.8240465879352833,0.0637309676623528,0.0011957111255544287,3,0,0
100,78468,micro_roc_auc,0.8329083356262078,0.8737188624482602,0.04081052682205243,0.000733514125368095,3,0,0
100,78468,macro_average_precision,0.15047855409308364,0.23042589187491855,0.07994733778183487,0.0012117077621631195,3,0,0
100,78468,micro_average_precision,0.2364435009111949,0.3203074518998077,0.08386395098861273,0.0023932678163588444,3,0,0
