fraction_percent,seed,train_samples,macro_roc_auc_dinov2,micro_roc_auc_dinov2,macro_average_precision_dinov2,micro_average_precision_dinov2,macro_roc_auc_resnet18,micro_roc_auc_resnet18,macro_average_precision_resnet18,micro_average_precision_resnet18,macro_roc_auc_difference_resnet_minus_dinov2,micro_roc_auc_difference_resnet_minus_dinov2,macro_average_precision_difference_resnet_minus_dinov2,micro_average_precision_difference_resnet_minus_dinov2
5,42,3923,0.6890851892730833,0.8022152757622365,0.1075985428714816,0.1958097613372154,0.7389067562959655,0.8107633616028808,0.140892908449793,0.2116698693646595,0.04982156702288221,0.00854808584064426,0.03329436557831139,0.015860108027444114
5,47,3923,0.6969663054243856,0.8069158263641788,0.1137697054111594,0.2021085940098211,0.7445089486820515,0.825605744176368,0.1412831555840345,0.2242125144611444,0.047542643257665884,0.018689917812189205,0.027513450172875112,0.02210392045132331
5,52,3923,0.6998910217844659,0.8097735829901622,0.1155482762238797,0.2015571845902952,0.747851183219317,0.8286313009217879,0.1410447758143464,0.2244568696842206,0.047960161434851045,0.018857717931625717,0.02549649959046671,0.022899685093925398
10,42,7847,0.7162800660262418,0.8142951532717602,0.1220849540173217,0.2116037975605351,0.7660986751887392,0.8368056289804474,0.1655395850645931,0.2526898050934141,0.04981860916249736,0.02251047570868725,0.0434546310472714,0.041086007532879
10,47,7847,0.724545324909599,0.8177235902972281,0.1260724010542803,0.2149726335305634,0.7643503453295729,0.8367839512619781,0.1626938152715922,0.2514135076682883,0.03980502041997391,0.019060360964750056,0.03662141421731191,0.0364408741377249
10,52,7847,0.7187136691983552,0.8173646548149879,0.121624458833356,0.2137475270236608,0.7685583884236433,0.8326335332996928,0.1609036638587921,0.2262605692276038,0.0498447192252881,0.015268878484704929,0.039279205025436095,0.012513042203943003
25,42,19617,0.7370429950947412,0.8232381251872839,0.1327574468474398,0.2266933426393034,0.8008462663195965,0.8592662696456089,0.1904101118790461,0.2888233081273679,0.0638032712248553,0.03602814445832503,0.05765266503160632,0.06212996548806449
25,47,19617,0.7376116476487133,0.821845253586529,0.1298981553617433,0.2202211461431643,0.7933820459243973,0.8479830096156521,0.1951539644534134,0.2701516308949697,0.055770398275683974,0.02613775602912305,0.06525580909167011,0.04993048475180539
25,52,19617,0.7421926159697948,0.8258530399129372,0.1337144125629944,0.2250968717834562,0.7957918182084592,0.8563948673397614,0.1922993313979391,0.2836457940698579,0.053599202238664434,0.03054182742682421,0.05858491883494468,0.05854892228640171
50,42,39234,0.7499628424883706,0.8292281923261979,0.142851944141303,0.2326742158603896,0.8139591031055559,0.8694999431254151,0.2137551635959808,0.3113472853417985,0.06399626061718522,0.04027175079921719,0.07090321945467778,0.0786730694814089
50,47,39234,0.7494024892830439,0.8281509087578036,0.141367755007729,0.2307381334187559,0.8129616311863176,0.8622877344946671,0.2124663664698589,0.2949335273037867,0.06355914190327372,0.034136825736863496,0.0710986114621299,0.06419539388503079
50,52,39234,0.75576008275796,0.8279910149858881,0.1452839302765105,0.2329704289627526,0.8112208822838304,0.8622347622184984,0.2053347919209806,0.2956613156672392,0.05546079952587035,0.034243747232610255,0.06005086164447013,0.06269088670448658
100,42,78468,0.7600145797287039,0.8318528218376452,0.1504765253353089,0.23485884551587,0.8224231910569213,0.8735030910724872,0.2316403565046958,0.3195447499892338,0.0624086113282174,0.04165026923484205,0.08116383116938691,0.08468590447336383
100,47,78468,0.7605395534431361,0.8325961845513831,0.1504860062548051,0.2349207226612436,0.8245878164582817,0.8730825871368951,0.2292264792848186,0.3206586531855085,0.06404826301514566,0.04048640258551206,0.0787404730300135,0.08573793052426493
100,52,78468,0.7603927276469516,0.8342760004895949,0.1504731306891369,0.2395509345564711,0.8251287562906471,0.8745709091353983,0.2304108398352412,0.3207189525246807,0.06473602864369543,0.04029490864580332,0.07993770914610429,0.08116801796820958
