model,fraction_percent,seed,train_samples,selected_epoch,stopped_epoch,termination,train_loss,val_loss,macro_roc_auc,micro_roc_auc,macro_average_precision,micro_average_precision,atelectasis_roc_auc,atelectasis_average_precision,cardiomegaly_roc_auc,cardiomegaly_average_precision,effusion_roc_auc,effusion_average_precision,infiltration_roc_auc,infiltration_average_precision,mass_roc_auc,mass_average_precision,nodule_roc_auc,nodule_average_precision,pneumonia_roc_auc,pneumonia_average_precision,pneumothorax_roc_auc,pneumothorax_average_precision,consolidation_roc_auc,consolidation_average_precision,edema_roc_auc,edema_average_precision,emphysema_roc_auc,emphysema_average_precision,fibrosis_roc_auc,fibrosis_average_precision,pleural_roc_auc,pleural_average_precision,hernia_roc_auc,hernia_average_precision
resnet18,5,42,3923,3,8,early_stopping,0.14948140611735786,0.16998749463540366,0.7389067562959655,0.8107633616028808,0.14089290844979302,0.21166986936465954,0.7317140480804113,0.24036645572024978,0.8077135895801075,0.13698742565762928,0.8009028212452451,0.3434793324189319,0.6445305477525443,0.2846395878472375,0.6989783651123278,0.16909101500112986,0.6342083292445195,0.10482163325467281,0.690467147482634,0.02639627565268354,0.8361461087779332,0.22568593951785473,0.7617347900888126,0.1104117453557803,0.856738361012796,0.09970492636127062,0.7869652200945907,0.08786081121344744,0.6823579489404283,0.03656864054062587,0.7404887977548918,0.10023304078061261,0.6717485129762731,0.006253888974976209
resnet18,5,47,3923,3,8,early_stopping,0.15097826402785816,0.16570173911325783,0.7445089486820515,0.825605744176368,0.14128315558403456,0.2242125144611444,0.7472140967447953,0.2482749351792133,0.8095191198348362,0.0978403756970259,0.8237438642648609,0.36038641542080524,0.6401210699186078,0.27447725187460803,0.7414613554842364,0.1503457057977092,0.6277584881468491,0.1075731779167447,0.6487007252932981,0.02232438523300924,0.8038673347702746,0.22865595910814077,0.7655772983399666,0.10595302882369781,0.8615532262455758,0.12586342447254958,0.8027374723178919,0.1126979078055439,0.6891543374257003,0.03515067173189548,0.7255670513922386,0.09461251591033652,0.7361498413695893,0.013808423205204312
resnet18,5,52,3923,3,8,early_stopping,0.1479418914977128,0.16676276315141608,0.747851183219317,0.8286313009217879,0.14104477581434646,0.22445686968422068,0.7415233279360108,0.23791196397827766,0.830480918116404,0.1642932713906168,0.8192437144093057,0.36019749377792754,0.6184519737534453,0.2663521259184145,0.7398853690768359,0.184086201560832,0.6541162640248879,0.1202759656639549,0.6960631779701825,0.03226253436768366,0.8084303639016658,0.18709038128178296,0.7602565188893902,0.09925247970898861,0.8691217442599146,0.0975493792988574,0.7727818510161167,0.06792346911671111,0.729289545770161,0.05182299283123803,0.7230834599725806,0.09283418478638093,0.7071883359735368,0.012774417719184514
resnet18,10,42,7847,3,8,early_stopping,0.14911072337032577,0.16355927946560742,0.7660986751887392,0.8368056289804474,0.1655395850645931,0.2526898050934141,0.7551594422176802,0.24720536440321672,0.8550797735069982,0.21039960683241793,0.8417353023823134,0.42396270509232303,0.6651579647965615,0.3138531040434205,0.7308795167075705,0.20524037179632676,0.645565362214561,0.1179821694607979,0.7152589664672234,0.0294865328281951,0.8481643816338169,0.28239691035694625,0.7718642083917955,0.10877668699248011,0.8655880751429349,0.10908939764758277,0.8265240004750494,0.12691041545620343,0.7423389386733581,0.04269750428962912,0.7290490111234363,0.08217457235347506,0.7330165089090505,0.017378849351288774
resnet18,10,47,7847,3,8,early_stopping,0.1490967063851609,0.16232145276780313,0.7643503453295729,0.8367839512619781,0.1626938152715922,0.2514135076682883,0.7642775993417035,0.2554641261583205,0.8428112760725021,0.17752440806243416,0.8388614985368421,0.4141791642677912,0.658386471544169,0.299514956045483,0.7664980932603359,0.20151468065724423,0.6589883869483216,0.1368271138329059,0.7169674140248691,0.03267727535389102,0.822982171558933,0.2602975384581174,0.7743839982853882,0.103977796409739,0.8704669207732099,0.11441187125241715,0.799438760540159,0.12280247248469955,0.7326730244964296,0.05483587495686419,0.721122162512602,0.08723459260831032,0.7330470567185543,0.016451543254073248
resnet18,10,52,7847,3,8,early_stopping,0.1501515720896954,0.1644840504220578,0.7685583884236433,0.8326335332996928,0.16090366385879215,0.22626056922760382,0.7646165688954955,0.25985360546523456,0.8634043780550749,0.20997047764519508,0.8208988308147932,0.4044184446188939,0.6598518183646389,0.3070253823633211,0.7298129507268264,0.1971893488401721,0.6700172637667927,0.12943265648551436,0.7143582843090046,0.03880155277465114,0.8311529231384576,0.2285948685194506,0.7658026318959337,0.09658942940995764,0.8719523096469735,0.11353784340901911,0.8014075085753408,0.10735685715253893,0.7451278015345558,0.050355927341045284,0.7474679585356835,0.09532585003823486,0.7739462096714365,0.014199049959861276
resnet18,25,42,19617,3,8,early_stopping,0.14860635744172476,0.1533545171974646,0.8008462663195965,0.8592662696456089,0.19041011187904613,0.2888233081273679,0.787120395685681,0.2913438292877019,0.8814665118256065,0.23430508833620045,0.8662174274681957,0.46445428643004016,0.6798060472808091,0.31756702015235233,0.809544270341703,0.28026727535563667,0.7048578031026176,0.14060132084885318,0.7382724807689438,0.03690590851749823,0.8525977897769779,0.27746643900805595,0.8066353567248254,0.12827722453724275,0.894454124693711,0.13690284934610936,0.8396123107661569,0.16177284002175218,0.7774768666632511,0.0740257071680964,0.7709179040634595,0.1046723817311229,0.8028684393124126,0.017179395565983167
resnet18,25,47,19617,5,10,early_stopping,0.13315629664301484,0.16232769000224578,0.7933820459243973,0.8479830096156521,0.1951539644534134,0.27015163089496974,0.7824540121572479,0.28304577775709294,0.8609698059932599,0.21275220230649952,0.8598506715119443,0.46854094088109666,0.6742400667656993,0.3090499718064784,0.8021740607891259,0.32129406982150566,0.6925424495783881,0.1410070692749191,0.7288288825979796,0.049426671996764156,0.8560371901132516,0.2710834866760552,0.7776668070588177,0.11633278296322906,0.8966848171340411,0.14513016005591697,0.8361179904012073,0.20611296714321362,0.7668021220864639,0.06455652835864963,0.7486253074285442,0.1085646865602358,0.8243544593255917,0.03525818674613085
resnet18,25,52,19617,3,8,early_stopping,0.14870543257859342,0.1566709454391587,0.7957918182084592,0.8563948673397614,0.19229933139793914,0.28364579406985796,0.7817824436599157,0.2841021303806465,0.8699327504022832,0.21710526759594084,0.8609114726356895,0.46699518167053145,0.6742938970416131,0.3208889558232435,0.8031856522559939,0.26743702000999026,0.7035852463086086,0.15748120413510408,0.7158944628394005,0.03569355143116205,0.861360261167774,0.29257033407302974,0.7975775708170408,0.12469820044547969,0.8933560214175514,0.13290451116153817,0.8478514492500506,0.1654736432586052,0.751702912255191,0.06666138061104139,0.7695299527841304,0.12068692816345437,0.810121362083186,0.03949233081138139
resnet18,50,42,39234,4,9,early_stopping,0.14199941782709827,0.15247619043812793,0.8139591031055559,0.8694999431254151,0.21375516359598085,0.31134728534179856,0.8006160026190287,0.31117734315617573,0.8865876521844733,0.23634780431284144,0.8711606336161096,0.4919028553977226,0.6875817888972081,0.3305194386395911,0.845245157636398,0.3402859207378579,0.7300643792073126,0.16788026449239907,0.7332325943851148,0.03897692841699183,0.8723336962721003,0.3103066718242206,0.8093867105952876,0.1400958235014114,0.8954601143479444,0.15429310351493328,0.8632543156144554,0.22923835411036714,0.8072441761981427,0.08033082606757222,0.7831955914672408,0.14362638173120354,0.8100646304369646,0.017590574440443804
