seed,fraction,samples,index_hash_sha256,archive,archive_key
42,0.05,3923,9ed698350189aa277f7e288c35f7e4ac48bfbbe9936165fb6b8f46d100748151,outputs/label_efficiency/subsets/seed_42.npz,fraction_005
42,0.1,7847,caea94c7d0a36e138a731debd5f122273ebc7153cd46fb3e2bac0ae9eebb89df,outputs/label_efficiency/subsets/seed_42.npz,fraction_010
42,0.25,19617,9f9c8dd540d0f9a28975bf580183f9a5b1b2231fe0514dc22786a5e1e93e7bc0,outputs/label_efficiency/subsets/seed_42.npz,fraction_025
42,0.5,39234,4faceb4c793839217ebe4b9b2324d0005057213efebf593f33e61db257f356d3,outputs/label_efficiency/subsets/seed_42.npz,fraction_050
42,1.0,78468,3c988da9939d7906e03b2a6ae7dbfaf75e8205f8c3615fac45dcea8a1eff7109,outputs/label_efficiency/subsets/seed_42.npz,fraction_100
47,0.05,3923,b811e0df680146ee4c1c4242f61db5992a56c3245595c72858207048d8d1c295,outputs/label_efficiency/subsets/seed_47.npz,fraction_005
47,0.1,7847,0ed417d68454a19afe13c665b2730a5f216b6548696c137d94516593b65bb85c,outputs/label_efficiency/subsets/seed_47.npz,fraction_010
47,0.25,19617,407b5de8ee1f3a669347319f78a582fb9188f8c31c3895648488980b3d5889d4,outputs/label_efficiency/subsets/seed_47.npz,fraction_025
47,0.5,39234,3eae5aadf7ab9235d16d4a99bc65f390c9932e44bcec4117b7ed806e888fb24e,outputs/label_efficiency/subsets/seed_47.npz,fraction_050
47,1.0,78468,3c988da9939d7906e03b2a6ae7dbfaf75e8205f8c3615fac45dcea8a1eff7109,outputs/label_efficiency/subsets/seed_47.npz,fraction_100
52,0.05,3923,702cc24e9ada7cbdf2bfe9aa1bedb56aa6c4c0787b40809c791bb84cd9b4e3b2,outputs/label_efficiency/subsets/seed_52.npz,fraction_005
52,0.1,7847,3977d1cbfb7a6c56853159ca61f2e272d7ebf378ec90282682558d4880fbb2a8,outputs/label_efficiency/subsets/seed_52.npz,fraction_010
52,0.25,19617,8a14508bd51a23addbe10aad408fbabb190797d558df7ac83f23f112d361fad1,outputs/label_efficiency/subsets/seed_52.npz,fraction_025
52,0.5,39234,a0c820abf338db4860a5fc8851e488b015262db9820d24fe7bf7f4db21b7e0fc,outputs/label_efficiency/subsets/seed_52.npz,fraction_050
52,1.0,78468,3c988da9939d7906e03b2a6ae7dbfaf75e8205f8c3615fac45dcea8a1eff7109,outputs/label_efficiency/subsets/seed_52.npz,fraction_100
