class_index,class_name,resnet18_roc_auc,dinov2_roc_auc,roc_auc_delta_dinov2_minus_resnet18,resnet18_average_precision,dinov2_average_precision,average_precision_delta_dinov2_minus_resnet18
0,atelectasis,0.7959694896664276,0.7451969649479904,-0.050772524718437184,0.32814107405631016,0.25431800318952963,-0.07382307086678053
1,cardiomegaly,0.9007455366642023,0.7700217310585705,-0.1307238056056318,0.2812696339351519,0.1029547353792621,-0.17831489855588983
2,effusion,0.8739581927555272,0.8136576899468866,-0.06030050280864063,0.514034224156765,0.36830406101517116,-0.14573016314159387
3,infiltration,0.7020609045504042,0.6701395968410608,-0.031921307709343316,0.32773808911642094,0.30697978471838644,-0.0207583043980345
4,mass,0.82429272901309,0.696839190482702,-0.127453538530388,0.26904309960133843,0.13139462780064476,-0.13764847180069367
5,nodule,0.7363944183430774,0.6971840702013752,-0.03921034814170221,0.19987663585289478,0.1484664106112773,-0.05141022524161748
6,pneumonia,0.7461974570138814,0.6706123136064022,-0.07558514340747924,0.03701825999432725,0.023138577996635823,-0.013879681997691427
7,pneumothorax,0.8596590134684725,0.7904901500695933,-0.06916886339887918,0.3017883099265715,0.21048631775380552,-0.091301992172766
8,consolidation,0.7955218121056811,0.7603067349560629,-0.035215077149618135,0.1509372736543169,0.12229000034406633,-0.028647273310250562
9,edema,0.8861448320149193,0.8522193669413455,-0.03392546507357386,0.13795954624458795,0.09332753327194981,-0.044632012972638135
10,emphysema,0.9051026962584445,0.8337803589395623,-0.07132233731888227,0.34387137710749166,0.21346362621854867,-0.130407750888943
11,fibrosis,0.809337507206151,0.7824309968006316,-0.0269065104055195,0.10986117900048402,0.08178018662548721,-0.02808099237499681
12,pleural,0.7634610480046983,0.7322576549880562,-0.0312033930166421,0.11838996168890706,0.08865678962964083,-0.029733172059266233
13,hernia,0.903119025288647,0.9012921858484808,-0.0018268394401661503,0.09487048669434628,0.07796855964385974,-0.016901927050486543
