class_index,class_name,unweighted_roc_auc,weighted_roc_auc,roc_auc_delta_weighted_minus_unweighted,unweighted_average_precision,weighted_average_precision,average_precision_delta_weighted_minus_unweighted
0,atelectasis,0.7959694896664276,0.7987446899184951,0.0027752002520675667,0.32814107405631016,0.3212597271037227,-0.006881346952587464
1,cardiomegaly,0.9007455366642023,0.9090943332073631,0.008348796543160786,0.2812696339351519,0.28444535411369865,0.003175720178546726
2,effusion,0.8739581927555272,0.8705244039750117,-0.0034337887805154788,0.514034224156765,0.4925509241507593,-0.021483300006005734
3,infiltration,0.7020609045504042,0.6926007550666033,-0.009460149483800806,0.32773808911642094,0.3318411438789911,0.0041030547625701685
4,mass,0.82429272901309,0.8125298658677573,-0.011762863145332703,0.26904309960133843,0.2574724308434423,-0.011570668757896141
5,nodule,0.7363944183430774,0.7249179591015069,-0.01147645924157048,0.19987663585289478,0.1857811177444486,-0.01409551810844617
6,pneumonia,0.7461974570138814,0.7392895489236757,-0.006907908090205694,0.03701825999432725,0.03413892214024361,-0.00287933785408364
7,pneumothorax,0.8596590134684725,0.8562738689195347,-0.0033851445489377907,0.3017883099265715,0.27194181106648,-0.029846498860091497
8,consolidation,0.7955218121056811,0.79446792735805,-0.0010538847476310176,0.1509372736543169,0.14992898800333312,-0.0010082856509837645
9,edema,0.8861448320149193,0.8808047603653294,-0.005340071649589939,0.13795954624458795,0.12859622722573746,-0.009363319018850486
10,emphysema,0.9051026962584445,0.9044276100793275,-0.0006750861791170459,0.34387137710749166,0.298568352693846,-0.04530302441364564
11,fibrosis,0.809337507206151,0.8109044617684114,0.0015669545622603032,0.10986117900048402,0.11241151458795205,0.0025503355874680333
12,pleural,0.7634610480046983,0.7651088405108638,0.0016477925061655352,0.11838996168890706,0.11415839596556322,-0.004231565723343836
13,hernia,0.903119025288647,0.9190257139879755,0.01590668869932854,0.09487048669434628,0.12447896688388468,0.029608480189538405
